2016-07-22 10:57:21.2811 | Trace | Duncan.PEMS.Framework.Controller.PemsController.OnActionExecuting | Enter
2016-07-22 10:57:24.2563 | Trace | Duncan.PEMS.Framework.Controller.PemsController.OnActionExecuting | Allowed, C: Index, A:Home
2016-07-22 10:57:24.2563 | Debug | Duncan.PEMS.Framework.Controller.PemsController.OnActionExecuting | Allowed Pass execution to action
2016-07-22 10:57:24.2563 | Trace | Duncan.PEMS.Framework.Controller.PemsController.OnActionExecuting | Exit
2016-07-22 10:58:34.2463 | Trace | Duncan.PEMS.Framework.Controller.PemsController.OnActionExecuting | Enter
2016-07-22 10:58:34.7793 | Trace | Duncan.PEMS.Framework.Controller.PemsController.OnActionExecuting | UndefinedAction, C: GetBatteryRep, A:Home
2016-07-22 10:58:34.7793 | Debug | Duncan.PEMS.Framework.Controller.PemsController.OnActionExecuting | UndefinedAction Pass execution to action
2016-07-22 10:58:34.7793 | Trace | Duncan.PEMS.Framework.Controller.PemsController.OnActionExecuting | Exit
2016-07-22 10:58:35.0533 | Trace | Duncan.PEMS.Framework.Controller.PemsController.OnActionExecuting | Enter
2016-07-22 10:58:35.3183 | Trace | Duncan.PEMS.Framework.Controller.PemsController.OnActionExecuting | UndefinedAction, C: GetAssetTypes_HomePage, A:GIS
2016-07-22 10:58:35.3183 | Debug | Duncan.PEMS.Framework.Controller.PemsController.OnActionExecuting | UndefinedAction Pass execution to action
2016-07-22 10:58:35.3183 | Trace | Duncan.PEMS.Framework.Controller.PemsController.OnActionExecuting | Exit
2016-07-22 10:58:35.7244 | Trace | Duncan.PEMS.Framework.Controller.PemsController.OnActionExecuting | Enter
2016-07-22 10:58:35.9234 | Trace | Duncan.PEMS.Framework.Controller.PemsController.OnActionExecuting | UndefinedAction, C: GetOccupancyForMobile, A:GIS
2016-07-22 10:58:35.9234 | Debug | Duncan.PEMS.Framework.Controller.PemsController.OnActionExecuting | UndefinedAction Pass execution to action
2016-07-22 10:58:35.9234 | Trace | Duncan.PEMS.Framework.Controller.PemsController.OnActionExecuting | Exit
2016-07-22 10:58:36.4904 | Trace | Duncan.PEMS.Framework.Controller.PemsController.OnActionExecuting | Enter
2016-07-22 10:58:36.6854 | Trace | Duncan.PEMS.Framework.Controller.PemsController.OnActionExecuting | UndefinedAction, C: GetEnforceableSpaceRep, A:Home
2016-07-22 10:58:36.6854 | Debug | Duncan.PEMS.Framework.Controller.PemsController.OnActionExecuting | UndefinedAction Pass execution to action
